CTCQS3CKSKHole pair | Strategy
DKHQ | [0.  0.5 0.3 0.2]
DKHK | [0.         0.38364223 0.3        0.31635777]
DKHA | [0.  0.5 0.1 0.4]
DKS2 | [0.  0.3 0.1 0.6]
DKS3 | [0.25 0.25 0.25 0.25]
DKS4 | [0.  0.3 0.1 0.6]
DKS5 | [0.  0.3 0.1 0.6]
DKS6 | [0.  0.3 0.1 0.6]
DKS7 | [0.  0.3 0.1 0.6]
DKS8 | [0.  0.3 0.1 0.6]
DKS9 | [0.  0.3 0.1 0.6]
DKST | [0.  0.5 0.3 0.2]
DKSJ | [0.  0.5 0.1 0.4]
DKSQ | [0.  0.5 0.3 0.2]
DKSK | [0.25 0.25 0.25 0.25]
DKSA | [0.  0.5 0.1 0.4]
DAH2 | [0.15300834 0.28142421 0.32897282 0.23659463]
DAH3 | [0.10368635 0.31853478 0.33036183 0.24741704]
DAH4 | [0.15316167 0.28147515 0.32869937 0.23666381]
DAH5 | [0.15317903 0.28144615 0.32870269 0.23667213]
DAH6 | [0.15372636 0.28132941 0.32827016 0.23667407]
DAH7 | [0.15370798 0.28102075 0.32856359 0.23670768]
DAH8 | [0.1209124  0.42434805 0.24796685 0.2067727 ]
DAH9 | [0.15638801 0.27950511 0.32639378 0.23771311]
DAHT | [0.04746732 0.21991686 0.06303536 0.66958046]
DAHJ | [0.         0.45959862 0.2        0.34040138]
DAHQ | [0.04100531 0.2731712  0.1492547  0.53656879]
DAHK | [0.  0.5 0.1 0.4]
DAHA | [0.01770355 0.28216986 0.15108488 0.54904171]
DAS2 | [0.15300834 0.28142421 0.32897282 0.23659463]
DAS3 | [0.25 0.25 0.25 0.25]
DAS4 | [0.15316167 0.28147515 0.32869937 0.23666381]
DAS5 | [0.15317903 0.28144615 0.32870269 0.23667213]
DAS6 | [0.15372636 0.28132941 0.32827016 0.23667407]
DAS7 | [0.15370798 0.28102075 0.32856359 0.23670768]
DAS8 | [0.1209124  0.42434805 0.24796685 0.2067727 ]
DAS9 | [0.15638801 0.27950511 0.32639378 0.23771311]
DAST | [0.04746732 0.21991686 0.06303536 0.66958046]
DASJ | [0.         0.45959862 0.2        0.34040138]
DASQ | [0.04100531 0.2731712  0.1492547  0.53656879]
DASK | [0.25 0.25 0.25 0.25]
DASA | [0.01770355 0.28216986 0.15108488 0.54904171]
H2H3 | [0.25815046 0.2225099  0.29685532 0.22248431]
H2H4 | [0.02147334 0.         0.         0.97852666]
H2H5 | [0.01205465 0.         0.         0.98794535]
H2H6 | [0.07028986 0.03333333 0.03333333 0.86304348]
H2H7 | [0.14080246 0.06616077 0.06691961 0.72611715]
H2H8 | [0.19866906 0.09459257 0.11401108 0.59272729]
H2H9 | [0.30285339 0.2458884  0.12973918 0.32151903]
H2HT | [0.02777665 0.29087498 0.02791352 0.65343486]
H2HJ | [0.18745826 0.40540145 0.19617712 0.21096317]
H2HQ | [0.07158114 0.26905163 0.13150212 0.52786511]
H2HK | [0.  0.3 0.1 0.6]
H2HA | [0.15300834 0.28142421 0.32897282 0.23659463]
H2S2 | [0.1261175  0.34014575 0.33585117 0.19788558]
H2S3 | [0.25 0.25 0.25 0.25]
H2S4 | [0.02147334 0.         0.         0.97852666]
H2S5 | [0.01205465 0.         0.         0.98794535]
H2S6 | [0.07028986 0.03333333 0.03333333 0.86304348]
H2S7 | [0.14080246 0.06616077 0.06691961 0.72611715]
H2S8 | [0.19866906 0.09459257 0.11401108 0.59272729]
H2S9 | [0.30285339 0.2458884  0.12973918 0.32151903]
H2ST | [0.02777665 0.29087498 0.02791352 0.65343486]
H2SJ | [0.18745826 0.40540145 0.19617712 0.21096317]
H2SQ | [0.07158114 0.26905163 0.13150212 0.52786511]
H2SK | [0.25 0.25 0.25 0.25]
H2SA | [0.15300834 0.28142421 0.32897282 0.23659463]
H3H4 | [0.2569147  0.22458835 0.29600241 0.22249454]
H3H5 | [0.25695314 0.22454843 0.29600393 0.2224945 ]
H3H6 | [0.25703416 0.22467649 0.29619991 0.22208943]
H3H7 | [0.25766799 0.22533274 0.29564712 0.22135215]
H3H8 | [0.25738724 0.2257705  0.29434477 0.2224975 ]
H3H9 | [0.25756433 0.22165791 0.29904932 0.22172844]
H3HT | [0.03894504 0.29200966 0.24020484 0.42884046]
H3HJ | [0.12448103 0.2972884  0.33589612 0.24233444]
H3HQ | [0.04518847 0.21952355 0.06174075 0.67354724]
H3HK | [0.         0.56516468 0.2        0.23483532]
H3HA | [0.10368635 0.31853478 0.33036183 0.24741704]
H3S2 | [0.25815046 0.2225099  0.29685532 0.22248431]
H3S3 | [0.25 0.25 0.25 0.25]
H3S4 | [0.2569147  0.22458835 0.29600241 0.22249454]
H3S5 | [0.25695314 0.22454843 0.29600393 0.2224945 ]
H3S6 | [0.25703416 0.22467649 0.29619991 0.22208943]
H3S7 | [0.25766799 0.22533274 0.29564712 0.22135215]
H3S8 | [0.25738724 0.2257705  0.29434477 0.2224975 ]
H3S9 | [0.25756433 0.22165791 0.29904932 0.22172844]
H3ST | [0.03894504 0.29200966 0.24020484 0.42884046]
H3SJ | [0.12448103 0.2972884  0.33589612 0.24233444]
H3SQ | [0.04518847 0.21952355 0.06174075 0.67354724]
H3SK | [0.25 0.25 0.25 0.25]
H3SA | [0.10368635 0.31853478 0.33036183 0.24741704]
H4H5 | [0.01205465 0.         0.         0.98794535]
H4H6 | [0.07028986 0.03333333 0.03333333 0.86304348]
H4H7 | [0.14080135 0.06616331 0.06691835 0.726117  ]
H4H8 | [0.19870467 0.09585314 0.11357923 0.59186297]
H4H9 | [0.30345677 0.24699029 0.12989848 0.31965446]
H4HT | [0.02786553 0.29095564 0.02806554 0.65311329]
H4HJ | [0.18814909 0.40478688 0.19609983 0.21096421]
H4HQ | [0.07243909 0.26501069 0.13125345 0.53129677]
H4HK | [0.  0.3 0.1 0.6]
H4HA | [0.15316167 0.28147515 0.32869937 0.23666381]
H4S2 | [0.02147334 0.         0.         0.97852666]
H4S3 | [0.25 0.25 0.25 0.25]
H4S4 | [0.09588363 0.32513095 0.32476316 0.25422226]
H4S5 | [0.01205465 0.         0.         0.98794535]
H4S6 | [0.07028986 0.03333333 0.03333333 0.86304348]
H4S7 | [0.14080135 0.06616331 0.06691835 0.726117  ]
H4S8 | [0.19870467 0.09585314 0.11357923 0.59186297]
H4S9 | [0.30345677 0.24699029 0.12989848 0.31965446]
H4ST | [0.02786553 0.29095564 0.02806554 0.65311329]
H4SJ | [0.18814909 0.40478688 0.19609983 0.21096421]
H4SQ | [0.07243909 0.26501069 0.13125345 0.53129677]
H4SK | [0.25 0.25 0.25 0.25]
H4SA | [0.15316167 0.28147515 0.32869937 0.23666381]
H5H6 | [0.07028986 0.03333333 0.03333333 0.86304348]
H5H7 | [0.14080147 0.06616303 0.06691848 0.72611702]
H5H8 | [0.19870097 0.0958591  0.11357933 0.5918606 ]
H5H9 | [0.30346426 0.24698107 0.12990285 0.31965182]
H5HT | [0.02786603 0.29100502 0.02801749 0.65311146]
H5HJ | [0.18816166 0.40476397 0.19610291 0.21097146]
H5HQ | [0.07242123 0.26501    0.13125316 0.5313156 ]
H5HK | [0.  0.3 0.1 0.6]
H5HA | [0.15317903 0.28144615 0.32870269 0.23667213]
H5S2 | [0.01205465 0.         0.         0.98794535]
H5S3 | [0.25 0.25 0.25 0.25]
H5S4 | [0.01205465 0.         0.         0.98794535]
H5S5 | [0.08907076 0.33373456 0.32326802 0.25392666]
H5S6 | [0.07028986 0.03333333 0.03333333 0.86304348]
H5S7 | [0.14080147 0.06616303 0.06691848 0.72611702]
H5S8 | [0.19870097 0.0958591  0.11357933 0.5918606 ]
H5S9 | [0.30346426 0.24698107 0.12990285 0.31965182]
H5ST | [0.02786603 0.29100502 0.02801749 0.65311146]
H5SJ | [0.18816166 0.40476397 0.19610291 0.21097146]
H5SQ | [0.07242123 0.26501    0.13125316 0.5313156 ]
H5SK | [0.25 0.25 0.25 0.25]
H5SA | [0.15317903 0.28144615 0.32870269 0.23667213]
H6H7 | [0.14080173 0.06616244 0.06691878 0.72611705]
H6H8 | [0.19869301 0.09587214 0.11357963 0.59185522]
H6H9 | [0.30313432 0.24750814 0.12973006 0.31962748]
H6HT | [0.02786655 0.29120956 0.0278143  0.65310959]
H6HJ | [0.18852424 0.40417222 0.19632189 0.21098165]
H6HQ | [0.07226221 0.26547329 0.13085429 0.53141022]
H6HK | [0.  0.3 0.1 0.6]
H6HA | [0.15372636 0.28132941 0.32827016 0.23667407]
H6S2 | [0.07028986 0.03333333 0.03333333 0.86304348]
H6S3 | [0.25 0.25 0.25 0.25]
H6S4 | [0.07028986 0.03333333 0.03333333 0.86304348]
H6S5 | [0.07028986 0.03333333 0.03333333 0.86304348]
H6S6 | [0.08134608 0.34507738 0.32146293 0.25211361]
H6S7 | [0.14080173 0.06616244 0.06691878 0.72611705]
H6S8 | [0.19869301 0.09587214 0.11357963 0.59185522]
H6S9 | [0.30313432 0.24750814 0.12973006 0.31962748]
H6ST | [0.02786655 0.29120956 0.0278143  0.65310959]
H6SJ | [0.18852424 0.40417222 0.19632189 0.21098165]
H6SQ | [0.07226221 0.26547329 0.13085429 0.53141022]
H6SK | [0.25 0.25 0.25 0.25]
H6SA | [0.15372636 0.28132941 0.32827016 0.23667407]
H7H8 | [0.19907289 0.09529244 0.11405666 0.59157801]
H7H9 | [0.30315053 0.2473434  0.12987237 0.31963371]
H7HT | [0.02774442 0.29161426 0.02860712 0.65203421]
H7HJ | [0.18871646 0.40407336 0.1961457  0.21106448]
H7HQ | [0.07077682 0.28378203 0.12794741 0.51749374]
H7HK | [0.  0.3 0.1 0.6]
H7HA | [0.15370798 0.28102075 0.32856359 0.23670768]
H7S2 | [0.14080246 0.06616077 0.06691961 0.72611715]
H7S3 | [0.25 0.25 0.25 0.25]
H7S4 | [0.14080135 0.06616331 0.06691835 0.726117  ]
H7S5 | [0.14080147 0.06616303 0.06691848 0.72611702]
H7S6 | [0.14080173 0.06616244 0.06691878 0.72611705]
H7S7 | [0.06867591 0.37188573 0.31902317 0.24041519]
H7S8 | [0.19907289 0.09529244 0.11405666 0.59157801]
H7S9 | [0.30315053 0.2473434  0.12987237 0.31963371]
H7ST | [0.02774442 0.29161426 0.02860712 0.65203421]
H7SJ | [0.18871646 0.40407336 0.1961457  0.21106448]
H7SQ | [0.07077682 0.28378203 0.12794741 0.51749374]
H7SK | [0.25 0.25 0.25 0.25]
H7SA | [0.15370798 0.28102075 0.32856359 0.23670768]
H8H9 | [0.3033964  0.24744291 0.12953572 0.31962497]
H8HT | [0.02804435 0.29223558 0.0266207  0.65309936]
H8HJ | [0.1905271  0.40429041 0.19427494 0.21090755]
H8HQ | [0.06672607 0.28933558 0.12949838 0.51443997]
H8HK | [0.  0.3 0.1 0.6]
H8HA | [0.1209124  0.42434805 0.24796685 0.2067727 ]
H8S2 | [0.19866906 0.09459257 0.11401108 0.59272729]
H8S3 | [0.25 0.25 0.25 0.25]
H8S4 | [0.19870467 0.09585314 0.11357923 0.59186297]
H8S5 | [0.19870097 0.0958591  0.11357933 0.5918606 ]
H8S6 | [0.19869301 0.09587214 0.11357963 0.59185522]
H8S7 | [0.19907289 0.09529244 0.11405666 0.59157801]
H8S8 | [0.06530688 0.38175133 0.27827012 0.27467167]
H8S9 | [0.3033964  0.24744291 0.12953572 0.31962497]
H8ST | [0.02804435 0.29223558 0.0266207  0.65309936]
H8SJ | [0.1905271  0.40429041 0.19427494 0.21090755]
H8SQ | [0.06672607 0.28933558 0.12949838 0.51443997]
H8SK | [0.25 0.25 0.25 0.25]
H8SA | [0.1209124  0.42434805 0.24796685 0.2067727 ]
H9HT | [0.02897859 0.28443676 0.03607714 0.65050751]
H9HJ | [0.         0.45567711 0.2        0.34432289]
H9HQ | [0.07217752 0.28796315 0.13275143 0.5071079 ]
H9HK | [0.  0.3 0.1 0.6]
H9HA | [0.15638801 0.27950511 0.32639378 0.23771311]
H9S2 | [0.30285339 0.2458884  0.12973918 0.32151903]
H9S3 | [0.25 0.25 0.25 0.25]
H9S4 | [0.30345677 0.24699029 0.12989848 0.31965446]
H9S5 | [0.30346426 0.24698107 0.12990285 0.31965182]
H9S6 | [0.30313432 0.24750814 0.12973006 0.31962748]
H9S7 | [0.30315053 0.2473434  0.12987237 0.31963371]
H9S8 | [0.3033964  0.24744291 0.12953572 0.31962497]
H9S9 | [0.06156234 0.38184454 0.28732874 0.26926439]
H9ST | [0.02897859 0.28443676 0.03607714 0.65050751]
H9SJ | [0.         0.45567711 0.2        0.34432289]
H9SQ | [0.07217752 0.28796315 0.13275143 0.5071079 ]
H9SK | [0.25 0.25 0.25 0.25]
H9SA | [0.15638801 0.27950511 0.32639378 0.23771311]
HTHJ | [0.02161145 0.24607958 0.06412531 0.66818365]
HTHQ | [0.05132881 0.21063025 0.06316129 0.67487965]
HTHK | [0.  0.5 0.3 0.2]
HTHA | [0.04746732 0.21991686 0.06303536 0.66958046]
HTS2 | [0.02777665 0.29087498 0.02791352 0.65343486]
HTS3 | [0.25 0.25 0.25 0.25]
HTS4 | [0.02786553 0.29095564 0.02806554 0.65311329]
HTS5 | [0.02786603 0.29100502 0.02801749 0.65311146]
HTS6 | [0.02786655 0.29120956 0.0278143  0.65310959]
HTS7 | [0.02774442 0.29161426 0.02860712 0.65203421]
HTS8 | [0.02804435 0.29223558 0.0266207  0.65309936]
HTS9 | [0.02897859 0.28443676 0.03607714 0.65050751]
HTST | [0.         0.62874363 0.12741076 0.24384561]
HTSJ | [0.02161145 0.24607958 0.06412531 0.66818365]
HTSQ | [0.05132881 0.21063025 0.06316129 0.67487965]
HTSK | [0.25 0.25 0.25 0.25]
HTSA | [0.04746732 0.21991686 0.06303536 0.66958046]
HJHQ | [0.05267664 0.2699781  0.15945453 0.51789073]
HJHK | [0.  0.5 0.1 0.4]
HJHA | [0.         0.45959862 0.2        0.34040138]
HJS2 | [0.18745826 0.40540145 0.19617712 0.21096317]
HJS3 | [0.25 0.25 0.25 0.25]
HJS4 | [0.18814909 0.40478688 0.19609983 0.21096421]
HJS5 | [0.18816166 0.40476397 0.19610291 0.21097146]
HJS6 | [0.18852424 0.40417222 0.19632189 0.21098165]
HJS7 | [0.18871646 0.40407336 0.1961457  0.21106448]
HJS8 | [0.1905271  0.40429041 0.19427494 0.21090755]
HJS9 | [0.         0.45567711 0.2        0.34432289]
HJST | [0.02161145 0.24607958 0.06412531 0.66818365]
HJSJ | [0.0455638  0.21379276 0.06780001 0.67284343]
HJSQ | [0.05267664 0.2699781  0.15945453 0.51789073]
HJSK | [0.25 0.25 0.25 0.25]
HJSA | [0.         0.45959862 0.2        0.34040138]
HQHK | [0.  0.5 0.3 0.2]
HQHA | [0.04100531 0.2731712  0.1492547  0.53656879]
HQS2 | [0.07158114 0.26905163 0.13150212 0.52786511]
HQS3 | [0.25 0.25 0.25 0.25]
HQS4 | [0.07243909 0.26501069 0.13125345 0.53129677]
HQS5 | [0.07242123 0.26501    0.13125316 0.5313156 ]
HQS6 | [0.07226221 0.26547329 0.13085429 0.53141022]
HQS7 | [0.07077682 0.28378203 0.12794741 0.51749374]
HQS8 | [0.06672607 0.28933558 0.12949838 0.51443997]
HQS9 | [0.07217752 0.28796315 0.13275143 0.5071079 ]
HQST | [0.05132881 0.21063025 0.06316129 0.67487965]
HQSJ | [0.05267664 0.2699781  0.15945453 0.51789073]
HQSQ | [0.         0.39390581 0.27209931 0.33399488]
HQSK | [0.25 0.25 0.25 0.25]
HQSA | [0.04100531 0.2731712  0.1492547  0.53656879]
HKHA | [0.  0.5 0.1 0.4]
HKS2 | [0.  0.3 0.1 0.6]
HKS3 | [0.25 0.25 0.25 0.25]
HKS4 | [0.  0.3 0.1 0.6]
HKS5 | [0.  0.3 0.1 0.6]
HKS6 | [0.  0.3 0.1 0.6]
HKS7 | [0.  0.3 0.1 0.6]
HKS8 | [0.  0.3 0.1 0.6]
HKS9 | [0.  0.3 0.1 0.6]
HKST | [0.  0.5 0.3 0.2]
HKSJ | [0.  0.5 0.1 0.4]
HKSQ | [0.  0.5 0.3 0.2]
HKSK | [0.25 0.25 0.25 0.25]
HKSA | [0.  0.5 0.1 0.4]
HAS2 | [0.15300834 0.28142421 0.32897282 0.23659463]
HAS3 | [0.25 0.25 0.25 0.25]
HAS4 | [0.15316167 0.28147515 0.32869937 0.23666381]
HAS5 | [0.15317903 0.28144615 0.32870269 0.23667213]
HAS6 | [0.15372636 0.28132941 0.32827016 0.23667407]
HAS7 | [0.15370798 0.28102075 0.32856359 0.23670768]
HAS8 | [0.1209124  0.42434805 0.24796685 0.2067727 ]
HAS9 | [0.15638801 0.27950511 0.32639378 0.23771311]
HAST | [0.04746732 0.21991686 0.06303536 0.66958046]
HASJ | [0.         0.45959862 0.2        0.34040138]
HASQ | [0.04100531 0.2731712  0.1492547  0.53656879]
HASK | [0.25 0.25 0.25 0.25]
HASA | [0.01770355 0.28216986 0.15108488 0.54904171]
S2S3 | [0.25 0.25 0.25 0.25]
S2S4 | [0.02147334 0.         0.         0.97852666]
S2S5 | [0.01205465 0.         0.         0.98794535]
S2S6 | [0.07028986 0.03333333 0.03333333 0.86304348]
S2S7 | [0.14080246 0.06616077 0.06691961 0.72611715]
S2S8 | [0.19866906 0.09459257 0.11401108 0.59272729]
S2S9 | [0.30285339 0.2458884  0.12973918 0.32151903]
S2ST | [0.02777665 0.29087498 0.02791352 0.65343486]
S2SJ | [0.18745826 0.40540145 0.19617712 0.21096317]
S2SQ | [0.07158114 0.26905163 0.13150212 0.52786511]
S2SK | [0.25 0.25 0.25 0.25]
S2SA | [0.15300834 0.28142421 0.32897282 0.23659463]
S3S4 | [0.25 0.25 0.25 0.25]
S3S5 | [0.25 0.25 0.25 0.25]
S3S6 | [0.25 0.25 0.25 0.25]
S3S7 | [0.25 0.25 0.25 0.25]
S3S8 | [0.25 0.25 0.25 0.25]
S3S9 | [0.25 0.25 0.25 0.25]
S3ST | [0.25 0.25 0.25 0.25]
S3SJ | [0.25 0.25 0.25 0.25]
S3SQ | [0.25 0.25 0.25 0.25]
S3SK | [0.25 0.25 0.25 0.25]
S3SA | [0.25 0.25 0.25 0.25]
S4S5 | [0.01205465 0.         0.         0.98794535]
S4S6 | [0.07028986 0.03333333 0.03333333 0.86304348]
S4S7 | [0.14080135 0.06616331 0.06691835 0.726117  ]
S4S8 | [0.19870467 0.09585314 0.11357923 0.59186297]
S4S9 | [0.30345677 0.24699029 0.12989848 0.31965446]
S4ST | [0.02786553 0.29095564 0.02806554 0.65311329]
S4SJ | [0.18814909 0.40478688 0.19609983 0.21096421]
S4SQ | [0.07243909 0.26501069 0.13125345 0.53129677]
S4SK | [0.25 0.25 0.25 0.25]
S4SA | [0.15316167 0.28147515 0.32869937 0.23666381]
S5S6 | [0.07028986 0.03333333 0.03333333 0.86304348]
S5S7 | [0.14080147 0.06616303 0.06691848 0.72611702]
S5S8 | [0.19870097 0.0958591  0.11357933 0.5918606 ]
S5S9 | [0.30346426 0.24698107 0.12990285 0.31965182]
S5ST | [0.02786603 0.29100502 0.02801749 0.65311146]
S5SJ | [0.18816166 0.40476397 0.19610291 0.21097146]
S5SQ | [0.07242123 0.26501    0.13125316 0.5313156 ]
S5SK | [0.25 0.25 0.25 0.25]
S5SA | [0.15317903 0.28144615 0.32870269 0.23667213]
S6S7 | [0.14080173 0.06616244 0.06691878 0.72611705]
S6S8 | [0.19869301 0.09587214 0.11357963 0.59185522]
S6S9 | [0.30313432 0.24750814 0.12973006 0.31962748]
S6ST | [0.02786655 0.29120956 0.0278143  0.65310959]
S6SJ | [0.18852424 0.40417222 0.19632189 0.21098165]
S6SQ | [0.07226221 0.26547329 0.13085429 0.53141022]
S6SK | [0.25 0.25 0.25 0.25]
S6SA | [0.15372636 0.28132941 0.32827016 0.23667407]
S7S8 | [0.19907289 0.09529244 0.11405666 0.59157801]
S7S9 | [0.30315053 0.2473434  0.12987237 0.31963371]
S7ST | [0.02774442 0.29161426 0.02860712 0.65203421]
S7SJ | [0.18871646 0.40407336 0.1961457  0.21106448]
S7SQ | [0.07077682 0.28378203 0.12794741 0.51749374]
S7SK | [0.25 0.25 0.25 0.25]
S7SA | [0.15370798 0.28102075 0.32856359 0.23670768]
S8S9 | [0.3033964  0.24744291 0.12953572 0.31962497]
S8ST | [0.02804435 0.29223558 0.0266207  0.65309936]
S8SJ | [0.1905271  0.40429041 0.19427494 0.21090755]
S8SQ | [0.06672607 0.28933558 0.12949838 0.51443997]
S8SK | [0.25 0.25 0.25 0.25]
S8SA | [0.1209124  0.42434805 0.24796685 0.2067727 ]
S9ST | [0.02897859 0.28443676 0.03607714 0.65050751]
S9SJ | [0.         0.45567711 0.2        0.34432289]
S9SQ | [0.07217752 0.28796315 0.13275143 0.5071079 ]
S9SK | [0.25 0.25 0.25 0.25]
S9SA | [0.15638801 0.27950511 0.32639378 0.23771311]
STSJ | [0.02161145 0.24607958 0.06412531 0.66818365]
STSQ | [0.05132881 0.21063025 0.06316129 0.67487965]
STSK | [0.25 0.25 0.25 0.25]
STSA | [0.04746732 0.21991686 0.06303536 0.66958046]
SJSQ | [0.05267664 0.2699781  0.15945453 0.51789073]
SJSK | [0.25 0.25 0.25 0.25]
SJSA | [0.         0.45959862 0.2        0.34040138]
SQSK | [0.25 0.25 0.25 0.25]
SQSA | [0.04100531 0.2731712  0.1492547  0.53656879]
SKSA | [0.25 0.25 0.25 0.25]
